sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence,class,host_class
1,python,switch_statements,django,/Users/a1-6/Code/Project/Python_Project/django,django/contrib/admin/utils.py,"display_for_field(value, field, empty_value_display)",401,435,10,"/Users/a1-6/Code/Project/Python_Project/django/django/contrib/admin/utils.py:method=display_for_field(value, field, empty_value_display)|line=401",0,switches=1;kind=if_elif;branches=10,,
2,python,switch_statements,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/mixology/incompatibility.py,__str__(self),108,204,6,/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/mixology/incompatibility.py:method=__str__(self)|line=108,0,switches=2;kind=if_elif;branches=6,Incompatibility,
3,python,switch_statements,requests,/Users/a1-6/Code/Project/Python_Project/requests,src/requests/help.py,_implementation(),37,66,5,/Users/a1-6/Code/Project/Python_Project/requests/src/requests/help.py:method=_implementation()|line=37,0,switches=1;kind=if_elif;branches=5,,
4,python,switch_statements,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/core/http2/protocol.py,"_handle_events(self, events: list[Event])",376,399,8,"/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/core/http2/protocol.py:method=_handle_events(self, events: list[Event])|line=376",0,switches=1;kind=if_elif;branches=8,H2ClientProtocol,
5,python,switch_statements,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/template.py,"_parse(reader: _TemplateReader, template: Template, in_block: str | None = None, in_loop: str | None = None,)",844,1042,8,"/Users/a1-6/Code/Project/Python_Project/tornado/tornado/template.py:method=_parse(reader: _TemplateReader, template: Template, in_block: str | None = None, in_loop: str | None = None,)|line=844",0,switches=4;kind=if_elif;branches=8,,
6,python,switch_statements,django,/Users/a1-6/Code/Project/Python_Project/django,django/utils/regex_helper.py,normalize(pattern),41,192,10,/Users/a1-6/Code/Project/Python_Project/django/django/utils/regex_helper.py:method=normalize(pattern)|line=41,0,switches=2;kind=if_elif;branches=10,,
7,python,switch_statements,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/puzzle/provider.py,"search_for_direct_origin_dependency(self, dependency: Dependency)",238,274,6,"/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/puzzle/provider.py:method=search_for_direct_origin_dependency(self, dependency: Dependency)|line=238",0,switches=1;kind=if_elif;branches=6,Provider,
8,python,switch_statements,requests,/Users/a1-6/Code/Project/Python_Project/requests,src/requests/adapters.py,"send(self, request: PreparedRequest, stream: bool = False, timeout: _t.TimeoutType = None, verify: _t.VerifyType = True, cert: _t.CertType = None, proxies: dict[str, str] | None = None,)",636,750,4,"/Users/a1-6/Code/Project/Python_Project/requests/src/requests/adapters.py:method=send(self, request: PreparedRequest, stream: bool = False, timeout: _t.TimeoutType = None, verify: _t.VerifyType = True, cert: _t.CertType = None, proxies: dict[str, str] | None = None,)|line=636",0,switches=2;kind=if_elif;branches=4,HTTPAdapter,
9,python,switch_statements,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/core/http2/stream.py,"close(self, reason: StreamCloseReason, errors: Sequence[BaseException] | None = None, from_protocol: bool = False,)",397,491,7,"/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/core/http2/stream.py:method=close(self, reason: StreamCloseReason, errors: Sequence[BaseException] | None = None, from_protocol: bool = False,)|line=397",0,switches=1;kind=if_elif;branches=7,Stream,
10,python,switch_statements,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/gen.py,convert_yielded(yielded: _Yieldable),856,884,6,/Users/a1-6/Code/Project/Python_Project/tornado/tornado/gen.py:method=convert_yielded(yielded: _Yieldable)|line=856,0,switches=1;kind=if_elif;branches=6,,
