sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence
1,python,dead_code,salt,/opt/projects/python/salt,salt/beacons/log_beacon.py,_get_loc(),41,46,0,/opt/projects/python/salt/salt/beacons/log_beacon.py:method=_get_loc()|line=41,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=6; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=8555feaf892e257f599a0d09ab96d68ffa7ad219
2,python,dead_code,ray,/opt/projects/python/ray,python/ray/_private/log.py,_print_loggers(),9,17,0,/opt/projects/python/ray/python/ray/_private/log.py:method=_print_loggers()|line=9,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=9; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=409bc239f3e2c2796000ad99b6c71ee06a2dd0cb
3,python,dead_code,mlflow,/opt/projects/python/mlflow,mlflow/gateway/app.py,_custom(request),157,158,0,/opt/projects/python/mlflow/mlflow/gateway/app.py:method=_custom(request)|line=157,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=2; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=4c9760f537f25b88e9de9bec9f88bb1bc463e104
4,python,dead_code,dagster,/opt/projects/python/dagster,python_modules/dagster-graphql/dagster_graphql/implementation/fetch_runs.py,"_fetch_runs_not_in_backfill(instance, cursor, limit, filters)",439,456,0,"/opt/projects/python/dagster/python_modules/dagster-graphql/dagster_graphql/implementation/fetch_runs.py:method=_fetch_runs_not_in_backfill(instance, cursor, limit, filters)|line=439",0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=18; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=6803f559237add943df41dd555f76d2eb5113356
5,python,dead_code,airflow,/opt/projects/python/airflow,airflow-core/src/airflow/dag_processing/manager.py,"_resolve_path(instance, attribute, val)",145,148,0,"/opt/projects/python/airflow/airflow-core/src/airflow/dag_processing/manager.py:method=_resolve_path(instance, attribute, val)|line=145",0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=4; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=e2486701a1f97e8fa18ab874b747eceeed542549
7,python,dead_code,dbt-core,/opt/projects/python/dbt-core,.github/actions/latest-wrangler/main.py,_validate_response(response),64,68,0,/opt/projects/python/dbt-core/.github/actions/latest-wrangler/main.py:method=_validate_response(response)|line=64,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=5; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=2fe3dd5c80dd0122c26be99c5ff821e983aedc3d
8,python,dead_code,dask,/opt/projects/python/dask,dask/array/core.py,"_split_up_single_chunk(c, this_chunksize_tolerance, max_chunk_size, proposed)",3427,3443,0,"/opt/projects/python/dask/dask/array/core.py:method=_split_up_single_chunk(c, this_chunksize_tolerance, max_chunk_size, proposed)|line=3427",0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=17; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=ade7a30c5a222f838b0f69f5a00c804e4cdf3d19
9,python,dead_code,fsspec,/opt/projects/python/fsspec,fsspec/caching.py,_reset_stats(self),71,75,0,/opt/projects/python/fsspec/fsspec/caching.py:method=_reset_stats(self)|line=71,0,kind=unused_private_function; member_kind=method; visibility=private; refs=0; loc=5; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=24e5cbf6cfc40fc07cc7122f53eaec7f2150a058
10,python,dead_code,prefect,/opt/projects/python/prefect,src/prefect/infrastructure/provisioners/ecs.py,_get_existing_vpc_cidrs(self),649,651,0,/opt/projects/python/prefect/src/prefect/infrastructure/provisioners/ecs.py:method=_get_existing_vpc_cidrs(self)|line=649,0,kind=unused_private_function; member_kind=method; visibility=private; refs=0; loc=3; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=48ea5ca1fe98d043c5680ac220b17ff2a09f7340
11,python,dead_code,luigi,/opt/projects/python/luigi,luigi/execution_summary.py,_serialize_first_param(task),303,304,0,/opt/projects/python/luigi/luigi/execution_summary.py:method=_serialize_first_param(task)|line=303,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=2; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=b53a77fe7c21df9e8f9e0d7944fa164d18855ace
