sample_id,case_id,definition_status,root_cause,automation_suitability,rationale
1,remote_kadmin,NOT_RB_MISSING_IMPLEMENTATION,incomplete_interface_implementation,EXCLUDE,remote administrator is expected to support this Kadmin operation
2,remote_kadmin,NOT_RB_MISSING_IMPLEMENTATION,incomplete_interface_implementation,EXCLUDE,remote administrator is expected to support this Kadmin operation
3,remote_kadmin,NOT_RB_MISSING_IMPLEMENTATION,incomplete_interface_implementation,EXCLUDE,remote administrator is expected to support this Kadmin operation
4,remote_kadmin,NOT_RB_MISSING_IMPLEMENTATION,incomplete_interface_implementation,EXCLUDE,remote administrator is expected to support this Kadmin operation
5,remote_kadmin,NOT_RB_MISSING_IMPLEMENTATION,incomplete_interface_implementation,EXCLUDE,remote administrator is expected to support this Kadmin operation
6,remote_kadmin,NOT_RB_MISSING_IMPLEMENTATION,incomplete_interface_implementation,EXCLUDE,remote administrator is expected to support this Kadmin operation
7,remote_kadmin,NOT_RB_MISSING_IMPLEMENTATION,incomplete_interface_implementation,EXCLUDE,remote administrator is expected to support this Kadmin operation
8,remote_kadmin,NOT_RB_MISSING_IMPLEMENTATION,missing_resource_cleanup,EXCLUDE,release should close the configured transport rather than redesign the hierarchy
9,json_config_loader,NOT_RB_MISSING_IMPLEMENTATION,incomplete_abstract_hook,EXCLUDE,JSON loader exists to implement the ConfigLoader parsing hook
10,collection_wrapper,TRUE_RB_INTERFACE_SEGREGATION,fat_object_wrapper_interface,DESIGN_ONLY_API_RISK,collection capability is forced to expose unrelated property access
11,collection_wrapper,TRUE_RB_INTERFACE_SEGREGATION,fat_object_wrapper_interface,DESIGN_ONLY_API_RISK,collection capability is forced to expose unrelated property access
12,collection_wrapper,TRUE_RB_INTERFACE_SEGREGATION,fat_object_wrapper_interface,DESIGN_ONLY_API_RISK,collection capability is forced to expose unrelated property access
13,collection_wrapper,TRUE_RB_INTERFACE_SEGREGATION,fat_object_wrapper_interface,DESIGN_ONLY_API_RISK,collection capability is forced to expose unrelated property access
14,collection_wrapper,TRUE_RB_INTERFACE_SEGREGATION,fat_object_wrapper_interface,DESIGN_ONLY_API_RISK,collection capability is forced to expose unrelated property access
15,collection_wrapper,TRUE_RB_INTERFACE_SEGREGATION,fat_object_wrapper_interface,DESIGN_ONLY_API_RISK,collection capability is forced to expose unrelated property access
16,collection_wrapper,TRUE_RB_INTERFACE_SEGREGATION,fat_object_wrapper_interface,DESIGN_ONLY_API_RISK,collection capability is forced to expose unrelated property access
17,collection_wrapper,TRUE_RB_INTERFACE_SEGREGATION,fat_object_wrapper_interface,DESIGN_ONLY_API_RISK,collection capability is forced to expose unrelated property access
18,collection_wrapper,TRUE_RB_INTERFACE_SEGREGATION,fat_object_wrapper_interface,DESIGN_ONLY_API_RISK,collection capability is forced to expose unrelated property access
19,collection_wrapper,TRUE_RB_INTERFACE_SEGREGATION,fat_object_wrapper_interface,DESIGN_ONLY_API_RISK,collection capability is forced to expose unrelated property access
20,closed_executor,NOT_RB_INTENTIONAL_SENTINEL,null_object_closed_state,EXCLUDE_INTENTIONAL,private closed sentinel deliberately makes unreachable executor hooks fail
21,closed_executor,NOT_RB_INTENTIONAL_SENTINEL,null_object_closed_state,EXCLUDE_INTENTIONAL,private closed sentinel deliberately makes unreachable executor hooks fail
22,closed_executor,NOT_RB_INTENTIONAL_SENTINEL,null_object_closed_state,EXCLUDE_INTENTIONAL,private closed sentinel deliberately makes unreachable executor hooks fail
23,closed_executor,NOT_RB_INTENTIONAL_SENTINEL,null_object_closed_state,EXCLUDE_INTENTIONAL,private closed sentinel deliberately makes unreachable executor hooks fail
24,caching_executor,TRUE_RB_INTERFACE_SEGREGATION,fat_executor_interface,DESIGN_ONLY_API_RISK,caching wrapper cannot itself accept another executor wrapper
25,jattribute_slider,NOT_RB_MISSING_IMPLEMENTATION,incomplete_state_getter,EXCLUDE,backing state exists and the getter should return it
26,ssl_request_packet,TRUE_RB_INTERFACE_SEGREGATION,bidirectional_packet_interface,CONDITIONAL_AUTOMATION,outbound-only packet is forced to expose inbound deserialization
27,extended_message_format,TRUE_RB_INHERITANCE_MISMATCH,mutable_parent_api_conflicts_with_invariants,DESIGN_ONLY_API_BREAKING,subclass rejects inherited MessageFormat mutation to protect its custom pattern model
28,extended_message_format,TRUE_RB_INHERITANCE_MISMATCH,mutable_parent_api_conflicts_with_invariants,DESIGN_ONLY_API_BREAKING,subclass rejects inherited MessageFormat mutation to protect its custom pattern model
29,extended_message_format,TRUE_RB_INHERITANCE_MISMATCH,mutable_parent_api_conflicts_with_invariants,DESIGN_ONLY_API_BREAKING,subclass rejects inherited MessageFormat mutation to protect its custom pattern model
30,extended_message_format,TRUE_RB_INHERITANCE_MISMATCH,mutable_parent_api_conflicts_with_invariants,DESIGN_ONLY_API_BREAKING,subclass rejects inherited MessageFormat mutation to protect its custom pattern model
