sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test
1,python,long_parameter_list,django,/Users/a1-6/Code/Project/Python_Project/django,django/forms/models.py,"inlineformset_factory(parent_model, model, form=ModelForm, formset=BaseInlineFormSet, fk_name=None, fields=None, exclude=None, extra=3, can_order=False, can_delete=True, max_num=None, formfield_callback=None, widgets=None, validate_max=False, localized_fields=None, labels=None, help_texts=None, error_messages=None, min_num=None, validate_min=False, field_classes=None, absolute_max=None, can_delete_extra=True, renderer=None, edit_only=False,)",1261,1324,25,"/Users/a1-6/Code/Project/Python_Project/django/django/forms/models.py:method=inlineformset_factory(parent_model, model, form=ModelForm, formset=BaseInlineFormSet, fk_name=None, fields=None, exclude=None, extra=3, can_order=False, can_delete=True, max_num=None, formfield_callback=None, widgets=None, validate_max=False, localized_fields=None, labels=None, help_texts=None, error_messages=None, min_num=None, validate_min=False, field_classes=None, absolute_max=None, can_delete_extra=True, renderer=None, edit_only=False,)|line=1261",0
2,python,long_parameter_list,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/installation/installer.py,"__init__(self, io: IO, env: Env, package: ProjectPackage, locker: Locker, pool: RepositoryPool, config: Config, installed: Repository | None = None, executor: Executor | None = None, disable_cache: bool = False,)",35,76,10,"/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/installation/installer.py:method=__init__(self, io: IO, env: Env, package: ProjectPackage, locker: Locker, pool: RepositoryPool, config: Config, installed: Repository | None = None, executor: Executor | None = None, disable_cache: bool = False,)|line=35",0
3,python,long_parameter_list,requests,/Users/a1-6/Code/Project/Python_Project/requests,src/requests/sessions.py,"request(self, method: str, url: _t.UriType, params: _t.ParamsType = None, data: _t.DataType = None, headers: Mapping[str, str | bytes] | None = None, cookies: RequestsCookieJar | CookieJar | dict[str, str] | None = None, files: _t.FilesType = None, auth: _t.AuthType = None, timeout: _t.TimeoutType = None, allow_redirects: bool = True, proxies: dict[str, str] | None = None, hooks: _t.HooksType = None, stream: bool | None = None, verify: _t.VerifyType | None = None, cert: _t.CertType = None, json: _t.JsonType = None,)",557,653,17,"/Users/a1-6/Code/Project/Python_Project/requests/src/requests/sessions.py:method=request(self, method: str, url: _t.UriType, params: _t.ParamsType = None, data: _t.DataType = None, headers: Mapping[str, str | bytes] | None = None, cookies: RequestsCookieJar | CookieJar | dict[str, str] | None = None, files: _t.FilesType = None, auth: _t.AuthType = None, timeout: _t.TimeoutType = None, allow_redirects: bool = True, proxies: dict[str, str] | None = None, hooks: _t.HooksType = None, stream: bool | None = None, verify: _t.VerifyType | None = None, cert: _t.CertType = None, json: _t.JsonType = None,)|line=557",0
4,python,long_parameter_list,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/http/response/text.py,"follow_all(self, urls: Iterable[str | Link] | parsel.SelectorList | None = None, callback: CallbackT | None = None, method: str = ""GET"", headers: Mapping[AnyStr, Any] | Iterable[tuple[AnyStr, Any]] | None = None, body: bytes | str | None = None, cookies: CookiesT | None = None, meta: dict[str, Any] | None = None, encoding: str | None = None, priority: int = 0, dont_filter: bool = False, errback: Callable[[Failure], Any] | None = None, cb_kwargs: dict[str, Any] | None = None, flags: list[str] | None = None, css: str | None = None, xpath: str | None = None,)",221,292,16,"/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/http/response/text.py:method=follow_all(self, urls: Iterable[str | Link] | parsel.SelectorList | None = None, callback: CallbackT | None = None, method: str = ""GET"", headers: Mapping[AnyStr, Any] | Iterable[tuple[AnyStr, Any]] | None = None, body: bytes | str | None = None, cookies: CookiesT | None = None, meta: dict[str, Any] | None = None, encoding: str | None = None, priority: int = 0, dont_filter: bool = False, errback: Callable[[Failure], Any] | None = None, cb_kwargs: dict[str, Any] | None = None, flags: list[str] | None = None, css: str | None = None, xpath: str | None = None,)|line=221",0
5,python,long_parameter_list,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/httpclient.py,"__init__(self, url: str, method: str = ""GET"", headers: dict[str, str] | httputil.HTTPHeaders | None = None, body: bytes | str | None = None, auth_username: str | None = None, auth_password: str | None = None, auth_mode: str | None = None, connect_timeout: float | None = None, request_timeout: float | None = None, if_modified_since: float | datetime.datetime | None = None, follow_redirects: bool | None = None, max_redirects: int | None = None, user_agent: str | None = None, use_gzip: bool | None = None, network_interface: str | None = None, streaming_callback: None | (Callable[[bytes], Awaitable[None] | None]) = None, header_callback: Callable[[str], None] | None = None, prepare_curl_callback: Callable[[Any], None] | None = None, proxy_host: str | None = None, proxy_port: int | None = None, proxy_username: str | None = None, proxy_password: str | None = None, proxy_auth_mode: str | None = None, allow_nonstandard_methods: bool | None = None, validate_cert: bool | None = None, ca_certs: str | None = None, allow_ipv6: bool | None = None, client_key: str | None = None, client_cert: str | None = None, body_producer: None | (Callable[[Callable[[bytes], None]], ""Future[None]""]) = None, expect_100_continue: bool = False, decompress_response: bool | None = None, ssl_options: dict[str, Any] | ssl.SSLContext | None = None,)",358,549,34,"/Users/a1-6/Code/Project/Python_Project/tornado/tornado/httpclient.py:method=__init__(self, url: str, method: str = ""GET"", headers: dict[str, str] | httputil.HTTPHeaders | None = None, body: bytes | str | None = None, auth_username: str | None = None, auth_password: str | None = None, auth_mode: str | None = None, connect_timeout: float | None = None, request_timeout: float | None = None, if_modified_since: float | datetime.datetime | None = None, follow_redirects: bool | None = None, max_redirects: int | None = None, user_agent: str | None = None, use_gzip: bool | None = None, network_interface: str | None = None, streaming_callback: None | (Callable[[bytes], Awaitable[None] | None]) = None, header_callback: Callable[[str], None] | None = None, prepare_curl_callback: Callable[[Any], None] | None = None, proxy_host: str | None = None, proxy_port: int | None = None, proxy_username: str | None = None, proxy_password: str | None = None, proxy_auth_mode: str | None = None, allow_nonstandard_methods: bool | None = None, validate_cert: bool | None = None, ca_certs: str | None = None, allow_ipv6: bool | None = None, client_key: str | None = None, client_cert: str | None = None, body_producer: None | (Callable[[Callable[[bytes], None]], ""Future[None]""]) = None, expect_100_continue: bool = False, decompress_response: bool | None = None, ssl_options: dict[str, Any] | ssl.SSLContext | None = None,)|line=358",0
6,python,long_parameter_list,django,/Users/a1-6/Code/Project/Python_Project/django,django/db/models/fields/__init__.py,"__init__(self, verbose_name=None, name=None, primary_key=False, max_length=None, unique=False, blank=False, null=False, db_index=False, rel=None, default=NOT_PROVIDED, editable=True, serialize=True, unique_for_date=None, unique_for_month=None, unique_for_year=None, choices=None, help_text="""", db_column=None, db_tablespace=None, auto_created=False, validators=(), error_messages=None, db_comment=None,)",179,239,24,"/Users/a1-6/Code/Project/Python_Project/django/django/db/models/fields/__init__.py:method=__init__(self, verbose_name=None, name=None, primary_key=False, max_length=None, unique=False, blank=False, null=False, db_index=False, rel=None, default=NOT_PROVIDED, editable=True, serialize=True, unique_for_date=None, unique_for_month=None, unique_for_year=None, choices=None, help_text="""", db_column=None, db_tablespace=None, auto_created=False, validators=(), error_messages=None, db_comment=None,)|line=179",0
7,python,long_parameter_list,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/layouts/layout.py,"__init__(self, project: str, version: str = ""0.1.0"", description: str = """", readme_format: str = ""md"", author: str | None = None, license: str | None = None, python: str = ""*"", dependencies: Mapping[str, str | Mapping[str, Any]] | None = None, dev_dependencies: Mapping[str, str | Mapping[str, Any]] | None = None,)",43,73,10,"/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/layouts/layout.py:method=__init__(self, project: str, version: str = ""0.1.0"", description: str = """", readme_format: str = ""md"", author: str | None = None, license: str | None = None, python: str = ""*"", dependencies: Mapping[str, str | Mapping[str, Any]] | None = None, dev_dependencies: Mapping[str, str | Mapping[str, Any]] | None = None,)|line=43",0
8,python,long_parameter_list,requests,/Users/a1-6/Code/Project/Python_Project/requests,src/requests/models.py,"__init__(self, method: str | None = None, url: _t.UriType | None = None, headers: Mapping[str, str | bytes] | None = None, files: _t.FilesType = None, data: _t.DataType = None, params: _t.ParamsType = None, auth: _t.AuthType = None, cookies: RequestsCookieJar | CookieJar | dict[str, str] | None = None, hooks: _t.HooksInputType | None = None, json: _t.JsonType = None,)",321,353,11,"/Users/a1-6/Code/Project/Python_Project/requests/src/requests/models.py:method=__init__(self, method: str | None = None, url: _t.UriType | None = None, headers: Mapping[str, str | bytes] | None = None, files: _t.FilesType = None, data: _t.DataType = None, params: _t.ParamsType = None, auth: _t.AuthType = None, cookies: RequestsCookieJar | CookieJar | dict[str, str] | None = None, hooks: _t.HooksInputType | None = None, json: _t.JsonType = None,)|line=321",0
9,python,long_parameter_list,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/linkextractors/lxmlhtml.py,"__init__(self, allow: _RegexOrSeveral = (), deny: _RegexOrSeveral = (), allow_domains: str | Iterable[str] = (), deny_domains: str | Iterable[str] = (), restrict_xpaths: str | Iterable[str] = (), tags: str | Iterable[str] = (""a"", ""area""), attrs: str | Iterable[str] = (""href"",), canonicalize: bool = False, unique: bool = True, process_value: Callable[[Any], Any] | None = None, deny_extensions: str | Iterable[str] | None = None, restrict_css: str | Iterable[str] = (), strip: bool = True, restrict_text: _RegexOrSeveral | None = None,)",167,208,15,"/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/linkextractors/lxmlhtml.py:method=__init__(self, allow: _RegexOrSeveral = (), deny: _RegexOrSeveral = (), allow_domains: str | Iterable[str] = (), deny_domains: str | Iterable[str] = (), restrict_xpaths: str | Iterable[str] = (), tags: str | Iterable[str] = (""a"", ""area""), attrs: str | Iterable[str] = (""href"",), canonicalize: bool = False, unique: bool = True, process_value: Callable[[Any], Any] | None = None, deny_extensions: str | Iterable[str] | None = None, restrict_css: str | Iterable[str] = (), strip: bool = True, restrict_text: _RegexOrSeveral | None = None,)|line=167",0
10,python,long_parameter_list,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/httpserver.py,"initialize(self, request_callback: (httputil.HTTPServerConnectionDelegate | Callable[[httputil.HTTPServerRequest], None]), no_keep_alive: bool = False, xheaders: bool = False, ssl_options: dict[str, Any] | ssl.SSLContext | None = None, protocol: str | None = None, decompress_request: bool = False, chunk_size: int | None = None, max_header_size: int | None = None, idle_connection_timeout: float | None = None, body_timeout: float | None = None, max_body_size: int | None = None, max_buffer_size: int | None = None, trusted_downstream: list[str] | None = None,)",159,201,14,"/Users/a1-6/Code/Project/Python_Project/tornado/tornado/httpserver.py:method=initialize(self, request_callback: (httputil.HTTPServerConnectionDelegate | Callable[[httputil.HTTPServerRequest], None]), no_keep_alive: bool = False, xheaders: bool = False, ssl_options: dict[str, Any] | ssl.SSLContext | None = None, protocol: str | None = None, decompress_request: bool = False, chunk_size: int | None = None, max_header_size: int | None = None, idle_connection_timeout: float | None = None, body_timeout: float | None = None, max_body_size: int | None = None, max_buffer_size: int | None = None, trusted_downstream: list[str] | None = None,)|line=159",0
